PROJ.4 +proj=utm +zone=29 +ellps=WGS84 +datum=WGS84 +units=m +no_defs,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Name,Population,X,Y,COUNTY_08,DIST_08,CLAN_08,DEMAND_MW,HOSP_MAIN_LOC,HOSP_ALT-NAME,Clinics,ClinDem,HC,HCDem,SumHlthDem,Pri_Schools,PriSchDem,Sec_Schools,SecSchDem,Both_PriSec,BothPriSecDem,SumEduDem,demand (household) > target household penetration rate,FullProdDem,demand (productive) > projected productive demand,demand (social infrastructure) > projected health facility demand per year,demand (social infrastructure) > projected education facility demand per year
Settlement,Gbakliken,2362,627671,557783,Maryland,Nyorken,Farjah,,,,0,0,0,0,0,1,250,0,0,0,0,250,0.3,0,0,0,606.8156178
Settlement,Dugboken,2352,618917,547709,Maryland,Gwelekpoken,Gbalaken,,,,0,0,0,0,0,3,750,0,0,1,600,1350,0.3,0,0,0,3276.804336
Settlement,Dingamon,2332,507172,798869,Nimba,Garr-Bain,Garr,,,,0,0,0,0,0,0,0,0,0,2,1200,1200,0.3,0,0,0,2912.714965
Settlement,Duo Gorton,2311,541790.652,801856.1778,Nimba,Yarpea Mahn,Duo,,,,0,0,0,0,0,0,0,0,0,1,600,600,0.3,0,0,0,1456.357483
Settlement,Marlay,2307,538222.1271,741293.6379,Nimba,Boe & Quilla,Quella,,,,0,0,0,0,0,0,0,0,0,1,600,600,0.3,0,0,0,1456.357483
Settlement,Sennehwen,2275,549308,698466,Grand Gedeh,B'hai,Marbo #1,,,,0,0,0,0,0,1,250,0,0,1,600,850,0.3,0,0,0,2063.173101
Settlement,Foequelleh,2260,474951,787803,Bong,Panta,Panta,,,,1,2000,0,0,2000,0,0,0,0,2,1200,1200,0.3,0,0,8643.88475,2912.714965
Settlement,Camp Alpha A,2238,313910,831176,Gbarpolu,Koninga,Jawajeh,,,,0,0,0,0,0,1,250,0,0,0,0,250,0.3,0,0,0,606.8156178
Settlement,Gbawiliken Cavalla,2230,627811,551885,Maryland,Nyorken,Newenken,,,,1,2000,0,0,2000,1,250,0,0,1,600,850,0.3,0,0,8643.88475,2063.173101
Settlement,Graie Township,2185,525214.0992,741885.4576,Nimba,Doe,Sehzuplay,,,,1,2000,0,0,2000,3,750,0,0,0,0,750,0.3,0,0,8643.88475,1820.446853
Settlement,Fissibu,2176,448442.7451,864687.2387,Lofa,Zorzor,Gizima,,,,1,2000,0,0,2000,1,250,1,500,2,1200,1950,0.3,0,0,8643.88475,4733.161819
Settlement,Nyor Diaplay,2107,566923.6216,761037.1087,Nimba,Buu-Yao,Nyor-Diabarlor,,,,0,0,0,0,0,1,250,0,0,2,1200,1450,0.3,0,0,0,3519.530583
Settlement,Bo,2057,237804.1643,775534.4841,Grand Cape Mount,Tewor,Passawe,,,,1,2000,0,0,2000,2,500,0,0,0,0,500,0.3,0,0,8643.88475,1213.631236
Settlement,Zowieta,2048,479192.431,753493.6699,Bong,Kpaai,Wolota,,,,1,2000,0,0,2000,0,0,0,0,2,1200,1200,0.3,0,0,8643.88475,2912.714965
Settlement,Gbarpa,2048,542604.4342,827530.4433,Nimba,Yarmein,Gbar,,,,0,0,0,0,0,0,0,0,0,1,600,600,0.3,0,0,0,1456.357483
Settlement,Petroken,2044,594939.8287,624013.5193,Grand Gedeh,Putu,Upper Jebebo,,,,0,0,0,0,0,1,250,0,0,0,0,250,0.3,0,0,0,606.8156178
Settlement,Weasua,2043,333335.5016,808973.4069,Gbarpolu,Gbarma,Yangaya,,,,1,2000,0,0,2000,0,0,0,0,1,600,600,0.3,0,0,8643.88475,1456.357483
Settlement,Janzon,2040,605532,688079,Grand Gedeh,Cavala,Niao,,,,1,2000,0,0,2000,0,0,0,0,1,600,600,0.3,0,0,8643.88475,1456.357483
Settlement,River Gbeh Township,2025,647799.0744,575995.4154,River Gee,Sarbo,Gbugbley,,,,1,2000,0,0,2000,0,0,0,0,0,0,0,0.3,0,0,8643.88475,0
Settlement,Blemieplay,2012,573645.1628,766346.5024,Nimba,Twan River,Loe-Gbao,,,,0,0,0,0,0,1,250,0,0,0,0,250,0.3,0,0,0,606.8156178
Settlement,Palala City,2010,468194.5514,773900.7958,Bong,Kpaai,Waytuah,,,,1,2000,0,0,2000,1,250,0,0,1,600,850,0.3,0,0,8643.88475,2063.173101
